model,dataset,signal,comparison,method_a,variant_a,method_b,variant_b,auroc_a,auroc_b,delta,ci_lo,ci_hi,p_two_sided,n_paired,same_generations,halluc_rate_a,halluc_rate_b,n_boot,bootstrap_seed
llama31_8b,morehopqa,blackbox,C4:mean - C2,C4,mean,C2,,0.712658,0.545577,0.167082,0.109035,0.219024,0.000000,1000,False,0.846000,0.714000,2000,0
llama31_8b,morehopqa,blackbox,C2 - SemanticEntropy:se_discrete,C2,,SemanticEntropy,se_discrete,0.545577,0.568126,-0.022549,-0.038475,-0.007201,0.003000,1000,True,0.714000,0.714000,2000,0
llama31_8b,morehopqa,blackbox,C2 - SelfCheckGPT-NLI,C2,,SelfCheckGPT-NLI,,0.545577,0.501166,0.044411,0.005393,0.083722,0.021000,1000,True,0.714000,0.714000,2000,0
llama31_8b,morehopqa,blackbox,C3 - SemanticEntropy:se_discrete,C3,,SemanticEntropy,se_discrete,0.681401,0.568126,0.113275,0.060893,0.169821,0.000000,1000,False,0.813000,0.714000,2000,0
llama31_8b,morehopqa,blackbox,C3 - SelfCheckGPT-NLI,C3,,SelfCheckGPT-NLI,,0.681401,0.501166,0.180235,0.127517,0.234785,0.000000,1000,False,0.813000,0.714000,2000,0
llama31_8b,morehopqa,blackbox,C4:max - SemanticEntropy:se_discrete,C4,max,SemanticEntropy,se_discrete,0.590149,0.568126,0.022024,-0.039663,0.084560,0.489000,1000,False,0.846000,0.714000,2000,0
llama31_8b,morehopqa,blackbox,C4:max - SelfCheckGPT-NLI,C4,max,SelfCheckGPT-NLI,,0.590149,0.501166,0.088984,0.026031,0.149900,0.009000,1000,False,0.846000,0.714000,2000,0
llama31_8b,morehopqa,whitebox,C3 - C2,C3,,C2,,0.638517,0.644226,-0.005709,-0.063290,0.054253,0.849000,1000,False,0.808000,0.731000,2000,0
llama31_8b,morehopqa,whitebox,C4:max - C2,C4,max,C2,,0.648775,0.644226,0.004549,-0.057556,0.066765,0.886000,1000,False,0.846000,0.731000,2000,0
llama31_8b,morehopqa,whitebox,C4:max - C3,C4,max,C3,,0.648775,0.638517,0.010258,-0.051692,0.072648,0.727000,1000,False,0.846000,0.808000,2000,0
llama31_8b,morehopqa,whitebox,C2 - C1,C2,,C1,,0.644226,0.465034,0.179192,0.115713,0.243281,0.000000,1000,False,0.731000,0.821000,2000,0
llama31_8b,morehopqa,whitebox,C3 - C1,C3,,C1,,0.638517,0.465034,0.173483,0.110553,0.236417,0.000000,1000,False,0.808000,0.821000,2000,0
llama31_8b,morehopqa,whitebox,C4:max - C4:mean,C4,max,C4,mean,0.648775,0.681058,-0.032283,-0.063336,-0.001629,0.040000,1000,True,0.846000,0.846000,2000,0
llama31_8b,morehopqa,whitebox,C4:mean - C2,C4,mean,C2,,0.681058,0.644226,0.036832,-0.025869,0.097125,0.235000,1000,False,0.846000,0.731000,2000,0
llama31_8b,morehopqa,whitebox,C4:max - C4:attn_mean,C4,max,C4,attn_mean,0.648775,0.664333,-0.015558,-0.056370,0.022331,0.431000,1000,True,0.846000,0.846000,2000,0
llama31_8b,morehopqa,whitebox,C4:attn_mean - C2,C4,attn_mean,C2,,0.664333,0.644226,0.020107,-0.045232,0.080792,0.544000,1000,False,0.846000,0.731000,2000,0
llama31_8b,morehopqa,whitebox,C2 - SemanticEntropy:se_weighted,C2,,SemanticEntropy,se_weighted,0.644226,0.570366,0.073860,0.018879,0.127846,0.006000,1000,False,0.731000,0.714000,2000,0
llama31_8b,morehopqa,whitebox,C2 - LLM-Check:logit_entropy,C2,,LLM-Check,logit_entropy,0.644226,0.708842,-0.064616,-0.105021,-0.021829,0.002000,1000,True,0.731000,0.731000,2000,0
llama31_8b,morehopqa,whitebox,C3 - SemanticEntropy:se_weighted,C3,,SemanticEntropy,se_weighted,0.638517,0.570366,0.068151,0.010362,0.124573,0.017000,1000,False,0.808000,0.714000,2000,0
llama31_8b,morehopqa,whitebox,C3 - LLM-Check:logit_entropy,C3,,LLM-Check,logit_entropy,0.638517,0.708842,-0.070325,-0.123056,-0.013821,0.009000,1000,False,0.808000,0.731000,2000,0
llama31_8b,morehopqa,whitebox,C4:max - SemanticEntropy:se_weighted,C4,max,SemanticEntropy,se_weighted,0.648775,0.570366,0.078409,0.019199,0.137294,0.011000,1000,False,0.846000,0.714000,2000,0
llama31_8b,morehopqa,whitebox,C4:max - LLM-Check:logit_entropy,C4,max,LLM-Check,logit_entropy,0.648775,0.708842,-0.060067,-0.117750,-0.002347,0.040000,1000,False,0.846000,0.731000,2000,0
llama31_8b,morehopqa,cross_signal,C1 (whitebox) - C1 (blackbox),C1,,C1,,0.465034,0.365630,0.099404,0.047981,0.151713,0.000000,1000,False,0.821000,0.820000,2000,0
llama31_8b,morehopqa,cross_signal,C2 (whitebox) - C2 (blackbox),C2,,C2,,0.644226,0.545577,0.098649,0.042965,0.155524,0.001000,1000,False,0.731000,0.714000,2000,0
llama31_8b,morehopqa,cross_signal,C3 (whitebox) - C3 (blackbox),C3,,C3,,0.638517,0.681401,-0.042883,-0.094607,0.008921,0.112000,1000,False,0.808000,0.813000,2000,0
llama31_8b,morehopqa,cross_signal,C4:max (whitebox) - C4:max (blackbox),C4,max,C4,max,0.648775,0.590149,0.058626,0.006983,0.114088,0.023000,1000,False,0.846000,0.846000,2000,0
mistral7b_v03,triviaqa,blackbox,C3 - C2,C3,,C2,,0.840863,0.721801,0.119062,0.074869,0.163599,0.000000,1000,False,0.259000,0.268000,2000,0
mistral7b_v03,triviaqa,blackbox,C4:max - C2,C4,max,C2,,0.761708,0.721801,0.039907,-0.004457,0.083945,0.076000,1000,False,0.285000,0.268000,2000,0
mistral7b_v03,triviaqa,blackbox,C4:max - C3,C4,max,C3,,0.761708,0.840863,-0.079155,-0.118358,-0.040358,0.000000,1000,False,0.285000,0.259000,2000,0
mistral7b_v03,triviaqa,blackbox,C2 - C1,C2,,C1,,0.721801,0.796265,-0.074464,-0.122710,-0.026931,0.001000,1000,False,0.268000,0.266000,2000,0
mistral7b_v03,triviaqa,blackbox,C3 - C1,C3,,C1,,0.840863,0.796265,0.044597,0.007908,0.079555,0.018000,1000,False,0.259000,0.266000,2000,0
mistral7b_v03,triviaqa,blackbox,C4:max - C4:mean,C4,max,C4,mean,0.761708,0.692882,0.068826,0.042654,0.096661,0.000000,1000,True,0.285000,0.285000,2000,0
mistral7b_v03,triviaqa,blackbox,C4:mean - C2,C4,mean,C2,,0.692882,0.721801,-0.028919,-0.078403,0.018943,0.239000,1000,False,0.285000,0.268000,2000,0
mistral7b_v03,triviaqa,blackbox,C2 - SemanticEntropy:se_discrete,C2,,SemanticEntropy,se_discrete,0.721801,0.634894,0.086907,0.072308,0.101784,0.000000,1000,True,0.268000,0.268000,2000,0
mistral7b_v03,triviaqa,blackbox,C2 - SelfCheckGPT-NLI,C2,,SelfCheckGPT-NLI,,0.721801,0.815604,-0.093804,-0.123345,-0.061862,0.000000,1000,True,0.268000,0.268000,2000,0
mistral7b_v03,triviaqa,blackbox,C3 - SemanticEntropy:se_discrete,C3,,SemanticEntropy,se_discrete,0.840863,0.634894,0.205968,0.159511,0.251043,0.000000,1000,False,0.259000,0.268000,2000,0
mistral7b_v03,triviaqa,blackbox,C3 - SelfCheckGPT-NLI,C3,,SelfCheckGPT-NLI,,0.840863,0.815604,0.025258,-0.013850,0.063781,0.229000,1000,False,0.259000,0.268000,2000,0
mistral7b_v03,triviaqa,blackbox,C4:max - SemanticEntropy:se_discrete,C4,max,SemanticEntropy,se_discrete,0.761708,0.634894,0.126814,0.081212,0.173165,0.000000,1000,False,0.285000,0.268000,2000,0
mistral7b_v03,triviaqa,blackbox,C4:max - SelfCheckGPT-NLI,C4,max,SelfCheckGPT-NLI,,0.761708,0.815604,-0.053897,-0.095252,-0.010978,0.015000,1000,False,0.285000,0.268000,2000,0
mistral7b_v03,triviaqa,whitebox,C3 - C2,C3,,C2,,0.694280,0.662549,0.031731,-0.017307,0.079057,0.190000,1000,False,0.261000,0.269000,2000,0
mistral7b_v03,triviaqa,whitebox,C4:max - C2,C4,max,C2,,0.677468,0.662549,0.014919,-0.036373,0.063804,0.599000,1000,False,0.285000,0.269000,2000,0
mistral7b_v03,triviaqa,whitebox,C4:max - C3,C4,max,C3,,0.677468,0.694280,-0.016812,-0.063189,0.028405,0.471000,1000,False,0.285000,0.261000,2000,0
mistral7b_v03,triviaqa,whitebox,C2 - C1,C2,,C1,,0.662549,0.747288,-0.084739,-0.130511,-0.036210,0.001000,1000,False,0.269000,0.269000,2000,0
mistral7b_v03,triviaqa,whitebox,C3 - C1,C3,,C1,,0.694280,0.747288,-0.053008,-0.095531,-0.007982,0.024000,1000,False,0.261000,0.269000,2000,0
mistral7b_v03,triviaqa,whitebox,C4:max - C4:mean,C4,max,C4,mean,0.677468,0.681713,-0.004245,-0.026418,0.018602,0.726000,1000,True,0.285000,0.285000,2000,0
mistral7b_v03,triviaqa,whitebox,C4:mean - C2,C4,mean,C2,,0.681713,0.662549,0.019164,-0.031555,0.069422,0.483000,1000,False,0.285000,0.269000,2000,0
mistral7b_v03,triviaqa,whitebox,C4:max - C4:attn_mean,C4,max,C4,attn_mean,0.677468,0.694707,-0.017240,-0.039878,0.005248,0.135000,1000,True,0.285000,0.285000,2000,0
mistral7b_v03,triviaqa,whitebox,C4:attn_mean - C2,C4,attn_mean,C2,,0.694707,0.662549,0.032158,-0.017935,0.081119,0.216000,1000,False,0.285000,0.269000,2000,0
mistral7b_v03,triviaqa,whitebox,C2 - SemanticEntropy:se_weighted,C2,,SemanticEntropy,se_weighted,0.662549,0.634655,0.027895,-0.021470,0.079827,0.291000,1000,False,0.269000,0.268000,2000,0
mistral7b_v03,triviaqa,whitebox,C2 - LLM-Check:logit_entropy,C2,,LLM-Check,logit_entropy,0.662549,0.627017,0.035532,-0.004293,0.077882,0.074000,1000,True,0.269000,0.269000,2000,0
mistral7b_v03,triviaqa,whitebox,C3 - SemanticEntropy:se_weighted,C3,,SemanticEntropy,se_weighted,0.694280,0.634655,0.059625,0.006425,0.112009,0.029000,1000,False,0.261000,0.268000,2000,0
mistral7b_v03,triviaqa,whitebox,C3 - LLM-Check:logit_entropy,C3,,LLM-Check,logit_entropy,0.694280,0.627017,0.067263,0.018801,0.118277,0.004000,1000,False,0.261000,0.269000,2000,0
mistral7b_v03,triviaqa,whitebox,C4:max - SemanticEntropy:se_weighted,C4,max,SemanticEntropy,se_weighted,0.677468,0.634655,0.042813,-0.007499,0.093004,0.113000,1000,False,0.285000,0.268000,2000,0
