model,dataset,signal,family,method,variant,auroc,ci_lo,ci_hi,hallucination_rate,n_questions,in_figure,n_boot,bootstrap_seed,source_file
llama31_8b,triviaqa,whitebox,baseline,SemanticEntropy,se_weighted,0.659828,0.616374,0.705184,0.190000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
llama31_8b,triviaqa,whitebox,kle,C2,,0.691712,0.650922,0.730562,0.189000,1000,True,2000,0,results/white-box/triviaqa/c2_triviaqa_8b_WB_results.json
llama31_8b,triviaqa,whitebox,kle,C3,,0.820879,0.791570,0.847118,0.246000,1000,True,2000,0,results/white-box/triviaqa/c3_triviaqa_8b_WB_results.json
llama31_8b,triviaqa,whitebox,kle,C4,attn_mean,0.785183,0.752906,0.815588,0.265000,1000,True,2000,0,results/white-box/triviaqa/c4_triviaqa_8b_WB_results.json
llama31_8b,triviaqa,whitebox,kle,C4,max,0.784557,0.751696,0.816606,0.265000,1000,True,2000,0,results/white-box/triviaqa/c4_triviaqa_8b_WB_results.json
llama31_8b,triviaqa,whitebox,kle,C4,mean,0.772933,0.739220,0.804230,0.265000,1000,True,2000,0,results/white-box/triviaqa/c4_triviaqa_8b_WB_results.json
mistral7b_v03,morehopqa,blackbox,baseline,SelfCheckGPT-NLI,,0.610059,0.572592,0.646406,0.670000,1000,True,2000,0,results/selfcheck-gpt/selfcheck_c2_morehopqa_mistral_results.json
mistral7b_v03,morehopqa,blackbox,baseline,SemanticEntropy,se_discrete,0.545520,0.505991,0.582590,0.670000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
mistral7b_v03,morehopqa,blackbox,kle,C2,,0.555106,0.514958,0.592505,0.670000,1000,True,2000,0,results/black-box/morehopqa/c2_morehopqa_mistral_BB_results.json
mistral7b_v03,morehopqa,blackbox,kle,C3,,0.680355,0.638872,0.720950,0.806000,1000,True,2000,0,results/black-box/morehopqa/c3_morehopqa_mistral_BB_results.json
mistral7b_v03,morehopqa,blackbox,kle,C4,max,0.579957,0.532985,0.626365,0.827000,1000,True,2000,0,results/black-box/morehopqa/c4_morehopqa_mistral_BB_results.json
mistral7b_v03,morehopqa,blackbox,kle,C4,mean,0.579314,0.534877,0.625459,0.827000,1000,True,2000,0,results/black-box/morehopqa/c4_morehopqa_mistral_BB_results.json
mistral7b_v03,morehopqa,whitebox,baseline,LLM-Check,attn,0.502463,0.465384,0.538961,0.655000,1000,False,2000,0,results/llm-check/llmcheck_c2_morehopqa_mistral_results.json
mistral7b_v03,morehopqa,whitebox,baseline,LLM-Check,hidden,0.423295,0.386411,0.461715,0.655000,1000,False,2000,0,results/llm-check/llmcheck_c2_morehopqa_mistral_results.json
mistral7b_v03,morehopqa,whitebox,baseline,LLM-Check,logit_entropy,0.571298,0.534332,0.607687,0.655000,1000,True,2000,0,results/llm-check/llmcheck_c2_morehopqa_mistral_results.json
mistral7b_v03,morehopqa,whitebox,baseline,LLM-Check,ppl,0.519159,0.479879,0.559484,0.655000,1000,False,2000,0,results/llm-check/llmcheck_c2_morehopqa_mistral_results.json
mistral7b_v03,morehopqa,whitebox,baseline,LLM-Check,window_entropy,0.557584,0.518844,0.594728,0.655000,1000,False,2000,0,results/llm-check/llmcheck_c2_morehopqa_mistral_results.json
mistral7b_v03,morehopqa,whitebox,baseline,SemanticEntropy,se_weighted,0.547899,0.508753,0.584845,0.670000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
mistral7b_v03,morehopqa,whitebox,kle,C2,,0.511012,0.473970,0.550008,0.655000,1000,True,2000,0,results/white-box/morehopqa/c2_morehopqa_mistral_WB_results.json
mistral7b_v03,morehopqa,whitebox,kle,C3,,0.543849,0.497731,0.589727,0.827000,1000,True,2000,0,results/white-box/morehopqa/c3_morehopqa_mistral_WB_results.json
mistral7b_v03,morehopqa,whitebox,kle,C4,attn_mean,0.581690,0.534212,0.627144,0.827000,1000,True,2000,0,results/white-box/morehopqa/c4_morehopqa_mistral_WB_results.json
mistral7b_v03,morehopqa,whitebox,kle,C4,max,0.577951,0.531523,0.623331,0.827000,1000,True,2000,0,results/white-box/morehopqa/c4_morehopqa_mistral_WB_results.json
mistral7b_v03,morehopqa,whitebox,kle,C4,mean,0.576483,0.531294,0.624312,0.827000,1000,True,2000,0,results/white-box/morehopqa/c4_morehopqa_mistral_WB_results.json
mistral7b_v03,nqopen,blackbox,baseline,SelfCheckGPT-NLI,,0.728459,0.695902,0.758502,0.414000,1000,True,2000,0,results/selfcheck-gpt/selfcheck_c2_nqopen_mistral_results.json
mistral7b_v03,nqopen,blackbox,baseline,SemanticEntropy,se_discrete,0.611453,0.576402,0.644986,0.414000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
mistral7b_v03,nqopen,blackbox,kle,C2,,0.671440,0.636698,0.703159,0.414000,1000,True,2000,0,results/black-box/nqopen/c2_nqopen_mistral_BB_results.json
mistral7b_v03,nqopen,blackbox,kle,C3,,0.762447,0.732267,0.792621,0.461000,1000,True,2000,0,results/black-box/nqopen/c3_nqopen_mistral_BB_results.json
mistral7b_v03,nqopen,blackbox,kle,C4,max,0.685351,0.651549,0.718035,0.441000,1000,True,2000,0,results/black-box/nqopen/c4_nqopen_mistral_BB_results.json
mistral7b_v03,nqopen,blackbox,kle,C4,mean,0.639346,0.604802,0.673893,0.441000,1000,True,2000,0,results/black-box/nqopen/c4_nqopen_mistral_BB_results.json
mistral7b_v03,nqopen,whitebox,baseline,LLM-Check,attn,0.599510,0.563764,0.635116,0.412000,1000,False,2000,0,results/llm-check/llmcheck_c2_nqopen_mistral_results.json
mistral7b_v03,nqopen,whitebox,baseline,LLM-Check,hidden,0.487109,0.449571,0.523854,0.412000,1000,False,2000,0,results/llm-check/llmcheck_c2_nqopen_mistral_results.json
mistral7b_v03,nqopen,whitebox,baseline,LLM-Check,logit_entropy,0.593368,0.558034,0.630652,0.412000,1000,True,2000,0,results/llm-check/llmcheck_c2_nqopen_mistral_results.json
mistral7b_v03,nqopen,whitebox,baseline,LLM-Check,ppl,0.570430,0.533714,0.607444,0.412000,1000,False,2000,0,results/llm-check/llmcheck_c2_nqopen_mistral_results.json
mistral7b_v03,nqopen,whitebox,baseline,LLM-Check,window_entropy,0.623291,0.588540,0.658347,0.412000,1000,False,2000,0,results/llm-check/llmcheck_c2_nqopen_mistral_results.json
mistral7b_v03,nqopen,whitebox,baseline,SemanticEntropy,se_weighted,0.612158,0.576392,0.645948,0.414000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
mistral7b_v03,nqopen,whitebox,kle,C2,,0.694526,0.660144,0.727505,0.412000,1000,True,2000,0,results/white-box/nqopen/c2_nqopen_mistral_WB_results.json
mistral7b_v03,nqopen,whitebox,kle,C3,,0.683495,0.648933,0.715933,0.453000,1000,True,2000,0,results/white-box/nqopen/c3_nqopen_mistral_WB_results.json
mistral7b_v03,nqopen,whitebox,kle,C4,attn_mean,0.583200,0.545685,0.618007,0.441000,1000,True,2000,0,results/white-box/nqopen/c4_nqopen_mistral_WB_results.json
mistral7b_v03,nqopen,whitebox,kle,C4,max,0.588356,0.552065,0.623608,0.441000,1000,True,2000,0,results/white-box/nqopen/c4_nqopen_mistral_WB_results.json
mistral7b_v03,nqopen,whitebox,kle,C4,mean,0.582730,0.545198,0.616753,0.441000,1000,True,2000,0,results/white-box/nqopen/c4_nqopen_mistral_WB_results.json
