model,dataset,signal,family,method,variant,metric,value,ci_lo,ci_hi,chance,higher_is_better,hallucination_rate,n_questions,n_boot,bootstrap_seed
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,attn,PRR,-0.361710,-0.518751,-0.183818,0.000000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,attn,FPR@95TPR,0.997534,0.990135,1.000000,0.950000,False,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,attn,AUARC,0.749582,0.708427,0.792928,0.811000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,SemanticEntropy,se_weighted,AUPRC,0.306963,0.258504,0.372732,0.190000,True,0.190000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,SemanticEntropy,se_weighted,PRR,0.316126,0.157986,0.450640,0.000000,True,0.190000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,SemanticEntropy,se_weighted,FPR@95TPR,0.967901,0.834950,0.984734,0.950000,False,0.190000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,SemanticEntropy,se_weighted,AUARC,0.863928,0.831149,0.894300,0.810000,True,0.190000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C1,,AUPRC,0.559714,0.505284,0.617231,0.333000,True,0.333000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C1,,PRR,0.535285,0.450035,0.609082,0.000000,True,0.333000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C1,,FPR@95TPR,0.734633,0.644541,0.883646,0.950000,False,0.333000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C1,,AUARC,0.811498,0.779298,0.839260,0.667000,True,0.333000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C2,,AUPRC,0.442182,0.389468,0.504290,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C2,,PRR,0.357809,0.261554,0.445699,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C2,,FPR@95TPR,0.879137,0.817018,0.915478,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C2,,AUARC,0.785425,0.751565,0.817138,0.695000,True,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C3,,AUPRC,0.627282,0.576356,0.681929,0.387000,True,0.387000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C3,,PRR,0.567591,0.500220,0.631709,0.000000,True,0.387000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C3,,FPR@95TPR,0.737357,0.687795,0.786655,0.950000,False,0.387000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C3,,AUARC,0.783165,0.752325,0.812365,0.613000,True,0.387000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C4,max,AUPRC,0.571778,0.522316,0.623678,0.439000,True,0.439000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C4,max,PRR,0.322617,0.232299,0.410899,0.000000,True,0.439000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C4,max,FPR@95TPR,0.889483,0.809843,0.925664,0.950000,False,0.439000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C4,max,AUARC,0.665547,0.624072,0.703369,0.561000,True,0.439000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C4,mean,AUPRC,0.548946,0.502129,0.601340,0.439000,True,0.439000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C4,mean,PRR,0.320148,0.229603,0.408364,0.000000,True,0.439000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C4,mean,FPR@95TPR,0.864528,0.820974,0.909939,0.950000,False,0.439000,1000,2000,0
llama31_8b,nqopen,blackbox,kle,C4,mean,AUARC,0.664747,0.622728,0.703261,0.561000,True,0.439000,1000,2000,0
llama31_8b,nqopen,blackbox,baseline,SelfCheckGPT-NLI,,AUPRC,0.478308,0.423688,0.542523,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,baseline,SelfCheckGPT-NLI,,PRR,0.402984,0.300389,0.498951,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,baseline,SelfCheckGPT-NLI,,FPR@95TPR,0.858993,0.801735,0.933045,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,baseline,SelfCheckGPT-NLI,,AUARC,0.796842,0.762536,0.830150,0.695000,True,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,baseline,SemanticEntropy,se_discrete,AUPRC,0.394799,0.348363,0.445755,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,baseline,SemanticEntropy,se_discrete,PRR,0.323369,0.223650,0.415088,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,baseline,SemanticEntropy,se_discrete,FPR@95TPR,0.882014,0.835992,0.919355,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,blackbox,baseline,SemanticEntropy,se_discrete,AUARC,0.776721,0.741652,0.809270,0.695000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C1,,AUPRC,0.583297,0.527541,0.640645,0.326000,True,0.326000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C1,,PRR,0.543937,0.457069,0.615569,0.000000,True,0.326000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C1,,FPR@95TPR,0.801187,0.696047,0.881723,0.950000,False,0.326000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C1,,AUARC,0.818550,0.788120,0.846467,0.674000,True,0.326000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C2,,AUPRC,0.456658,0.403187,0.517280,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C2,,PRR,0.388021,0.284882,0.481219,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C2,,FPR@95TPR,0.890647,0.804061,0.955271,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C2,,AUARC,0.793060,0.759034,0.824383,0.695000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C3,,AUPRC,0.616450,0.564847,0.670915,0.403000,True,0.403000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C3,,PRR,0.563739,0.491888,0.632861,0.000000,True,0.403000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C3,,FPR@95TPR,0.762144,0.664884,0.824593,0.950000,False,0.403000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C3,,AUARC,0.770493,0.738279,0.801165,0.597000,True,0.403000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,max,AUPRC,0.680512,0.634416,0.725622,0.439000,True,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,max,PRR,0.392096,0.302392,0.479796,0.000000,True,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,max,FPR@95TPR,0.926916,0.820188,0.957412,0.950000,False,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,max,AUARC,0.688062,0.648059,0.727296,0.561000,True,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,mean,AUPRC,0.670980,0.625770,0.716800,0.439000,True,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,mean,PRR,0.410310,0.324709,0.495908,0.000000,True,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,mean,FPR@95TPR,0.914439,0.787706,0.943570,0.950000,False,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,mean,AUARC,0.693964,0.654092,0.731926,0.561000,True,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,attn_mean,AUPRC,0.662982,0.615608,0.712951,0.439000,True,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,attn_mean,PRR,0.467302,0.388110,0.544815,0.000000,True,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,attn_mean,FPR@95TPR,0.853832,0.762737,0.920812,0.950000,False,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,kle,C4,attn_mean,AUARC,0.712433,0.675214,0.748191,0.561000,True,0.439000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,logit_entropy,AUPRC,0.478571,0.421967,0.541261,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,logit_entropy,PRR,0.369373,0.268184,0.475434,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,logit_entropy,FPR@95TPR,0.886331,0.778774,0.947293,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,logit_entropy,AUARC,0.788347,0.753697,0.822651,0.695000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,ppl,AUPRC,0.463358,0.406440,0.525812,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,ppl,PRR,0.337787,0.234270,0.443565,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,ppl,FPR@95TPR,0.915108,0.811475,0.959725,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,ppl,AUARC,0.780365,0.746225,0.815901,0.695000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,window_entropy,AUPRC,0.459659,0.405831,0.520736,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,window_entropy,PRR,0.354322,0.256332,0.448028,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,window_entropy,FPR@95TPR,0.897842,0.816472,0.952114,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,window_entropy,AUARC,0.784544,0.750465,0.817528,0.695000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,hidden,AUPRC,0.279628,0.242459,0.319749,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,hidden,PRR,-0.366578,-0.480624,-0.248907,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,hidden,FPR@95TPR,0.991367,0.976774,0.997230,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,hidden,AUARC,0.602359,0.559065,0.646197,0.695000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,attn,AUPRC,0.280616,0.246744,0.324096,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,attn,PRR,-0.221037,-0.336044,-0.104242,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,attn,FPR@95TPR,0.987050,0.960921,0.998508,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,LLM-Check,attn,AUARC,0.639140,0.598046,0.682998,0.695000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,SemanticEntropy,se_weighted,AUPRC,0.403428,0.357033,0.461203,0.305000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,SemanticEntropy,se_weighted,PRR,0.329202,0.226493,0.421750,0.000000,True,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,SemanticEntropy,se_weighted,FPR@95TPR,0.884892,0.826259,0.915917,0.950000,False,0.305000,1000,2000,0
llama31_8b,nqopen,whitebox,baseline,SemanticEntropy,se_weighted,AUARC,0.778195,0.743584,0.810869,0.695000,True,0.305000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C1,,AUPRC,0.762856,0.727128,0.798935,0.820000,True,0.820000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C1,,PRR,-0.200518,-0.257511,-0.145800,0.000000,True,0.820000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C1,,FPR@95TPR,0.994444,0.976464,1.000000,0.950000,False,0.820000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C1,,AUARC,0.118190,0.094402,0.142633,0.180000,True,0.820000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C2,,AUPRC,0.730843,0.694002,0.771892,0.714000,True,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C2,,PRR,0.170259,0.083956,0.252434,0.000000,True,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C2,,FPR@95TPR,0.870629,0.819920,0.922496,0.950000,False,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C2,,AUARC,0.346893,0.305664,0.388839,0.286000,True,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C3,,AUPRC,0.892145,0.866844,0.916345,0.813000,True,0.813000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C3,,PRR,0.348953,0.262521,0.432440,0.000000,True,0.813000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C3,,FPR@95TPR,0.802139,0.724868,0.862643,0.950000,False,0.813000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C3,,AUARC,0.296267,0.253692,0.340167,0.187000,True,0.813000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C4,max,AUPRC,0.873341,0.843985,0.901926,0.846000,True,0.846000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C4,max,PRR,0.202696,0.111408,0.297355,0.000000,True,0.846000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C4,max,FPR@95TPR,0.850649,0.775140,0.915036,0.950000,False,0.846000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C4,max,AUARC,0.212312,0.174126,0.253139,0.154000,True,0.846000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C4,mean,AUPRC,0.928824,0.910042,0.945265,0.846000,True,0.846000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C4,mean,PRR,0.374738,0.280619,0.460693,0.000000,True,0.846000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C4,mean,FPR@95TPR,0.818182,0.728460,0.881269,0.950000,False,0.846000,1000,2000,0
llama31_8b,morehopqa,blackbox,kle,C4,mean,AUARC,0.261805,0.220916,0.303239,0.154000,True,0.846000,1000,2000,0
llama31_8b,morehopqa,blackbox,baseline,SelfCheckGPT-NLI,,AUPRC,0.722878,0.685590,0.762222,0.714000,True,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,baseline,SelfCheckGPT-NLI,,PRR,0.030321,-0.049619,0.111428,0.000000,True,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,baseline,SelfCheckGPT-NLI,,FPR@95TPR,0.937063,0.897428,0.963504,0.950000,False,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,baseline,SelfCheckGPT-NLI,,AUARC,0.296844,0.257902,0.337506,0.286000,True,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,baseline,SemanticEntropy,se_discrete,AUPRC,0.745223,0.709614,0.780814,0.714000,True,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,baseline,SemanticEntropy,se_discrete,PRR,0.181917,0.103723,0.267079,0.000000,True,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,baseline,SemanticEntropy,se_discrete,FPR@95TPR,0.898601,0.832739,0.939935,0.950000,False,0.714000,1000,2000,0
llama31_8b,morehopqa,blackbox,baseline,SemanticEntropy,se_discrete,AUARC,0.351062,0.312263,0.396762,0.286000,True,0.714000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C1,,AUPRC,0.810150,0.778313,0.843183,0.821000,True,0.821000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C1,,PRR,-0.031694,-0.107018,0.045459,0.000000,True,0.821000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C1,,FPR@95TPR,0.944134,0.910526,0.978261,0.950000,False,0.821000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C1,,AUARC,0.169253,0.138031,0.203313,0.179000,True,0.821000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C2,,AUPRC,0.797148,0.761298,0.833383,0.731000,True,0.731000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C2,,PRR,0.355163,0.268274,0.434582,0.000000,True,0.731000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C2,,FPR@95TPR,0.765799,0.705668,0.846169,0.950000,False,0.731000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C2,,AUARC,0.394317,0.348512,0.436688,0.269000,True,0.731000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C3,,AUPRC,0.872343,0.844417,0.899421,0.808000,True,0.808000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C3,,PRR,0.281869,0.193462,0.364739,0.000000,True,0.808000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C3,,FPR@95TPR,0.843750,0.794118,0.901042,0.950000,False,0.808000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C3,,AUARC,0.281196,0.240993,0.321938,0.192000,True,0.808000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C4,max,AUPRC,0.905669,0.882326,0.926538,0.846000,True,0.846000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C4,max,PRR,0.251028,0.159897,0.340406,0.000000,True,0.846000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C4,max,FPR@95TPR,0.857143,0.800000,0.913043,0.950000,False,0.846000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C4,max,AUARC,0.226216,0.186865,0.267305,0.154000,True,0.846000,1000,2000,0
llama31_8b,morehopqa,whitebox,kle,C4,mean,AUPRC,0.921296,0.901963,0.937751,0.846000,True,0.846000,1000,2000,0
